GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PDF Manipulation Utility,cz.hobrasoft.pdfmu.error,ErrorType,72,598,18,18,8,83,19,9,1,9
PDF Manipulation Utility,cz.hobrasoft.pdfmu,PdfmuUtils,90,59,10,8,19,12,13,4,5,3
PDF Manipulation Utility,cz.hobrasoft.pdfmu,ExceptionMessagePattern,0,48,0,2,0,14,0,3,0,2
PDF Manipulation Utility,cz.hobrasoft.pdfmu,IntProperties,3,22,1,1,1,8,1,3,0,3
PDF Manipulation Utility,cz.hobrasoft.pdfmu,TextOutput,42,51,11,5,6,18,9,7,1,7
PDF Manipulation Utility,cz.hobrasoft.pdfmu,Main,143,446,30,28,29,112,29,13,2,10
PDF Manipulation Utility,cz.hobrasoft.pdfmu,IntegerValueTransformer,0,14,0,0,0,5,0,4,0,4
PDF Manipulation Utility,cz.hobrasoft.pdfmu,PrintAndExitAction,3,13,0,0,2,6,0,4,0,4
PDF Manipulation Utility,cz.hobrasoft.pdfmu,WritingMapper,32,0,0,0,11,0,3,0,3,0
PDF Manipulation Utility,cz.hobrasoft.pdfmu,PreferenceListComparator,21,70,12,8,3,21,9,8,0,7
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.args,InPdfArgs,67,141,9,13,8,39,9,11,0,9
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.args,PasswordArgs,66,121,18,18,5,27,19,6,1,6
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.args,InOutPdfArgs,8,97,0,0,3,32,2,14,2,14
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.args,OutPdfArgs,178,323,21,39,23,81,22,21,1,12
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.signature,KeystoreParameters,166,211,16,14,19,50,14,13,1,11
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.signature,SignatureParameters,10,301,5,9,0,39,5,6,0,4
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.signature,SslKeystore,88,68,9,3,11,16,8,4,2,4
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.signature,KeyParameters,278,200,36,16,40,51,26,10,1,9
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.signature,TimestampParameters,72,283,22,4,15,53,14,5,1,5
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.signature,OperationSignatureAdd,337,285,50,14,64,73,31,13,0,12
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.signature,SignatureAppearanceParameters,70,121,9,9,8,33,9,6,0,6
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.metadata,MetadataParameters,128,263,19,5,28,35,13,6,2,5
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.metadata,OperationMetadataSet,112,65,13,3,26,19,11,5,4,4
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,RpcError,12,0,0,0,5,0,1,0,1,0
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,SignatureMetadata,0,15,0,0,0,5,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,SchemaGenerator,90,0,2,0,19,0,3,0,2,0
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,SignatureDisplay,10,36,5,5,5,10,5,2,0,2
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,CertificateResult,0,3,0,0,0,1,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,RpcError.Data,12,0,0,0,4,0,1,0,1,0
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,Inspect,0,3,0,0,0,1,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,Result,0,3,0,0,0,1,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,Signature,0,18,0,0,0,6,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,SignatureAdd,0,9,0,0,0,4,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,VersionSet,0,12,0,0,0,5,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,EmptyResult,0,3,0,0,0,1,0,1,0,1
PDF Manipulation Utility,cz.hobrasoft.pdfmu.jackson,RpcResponse,66,0,10,0,15,0,10,0,5,0
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation,OperationCommon,25,24,1,1,7,8,2,4,1,4
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation,OperationException,117,94,12,6,27,24,14,7,5,7
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation,OperationInspect,104,741,15,21,11,147,14,19,1,14
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation,OperationAttach,74,259,13,15,6,57,13,7,0,6
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.version,OperationVersionSet,17,233,3,11,0,54,3,11,0,7
PDF Manipulation Utility,cz.hobrasoft.pdfmu.operation.version,PdfVersion,16,66,6,6,2,16,6,6,0,6
